Month,Revenue,Costs,Profit,GrowthRate
2008-01,3226027,1639668,1586359,0.0
2008-02,512437,4007222,-3494785,-84.11553902059717
2008-03,816087,3753857,-2937770,59.25606464794697
2008-04,2882628,1213075,1669553,253.22557521440729
2008-05,3361419,2591216,770203,16.6095313026863
2008-06,651439,1183425,-531986,-80.62011906281245
2008-07,4323836,1849747,2474089,563.7361287856576
2008-08,1544249,2625530,-1081281,-64.28520878220174
2008-09,2273686,2217162,56524,47.23571133929827
2008-10,1730258,4336928,-2606670,-23.900749707743284
2008-11,2714299,2820511,-106212,56.87250109521238
2008-12,2397320,4160693,-1763373,-11.678116522903338
2009-01,1127835,3983891,-2856056,-52.95434068042648
2009-02,1488169,1811481,-323312,31.949176962942282
2009-03,505495,1784414,-1278919,-66.03241970502006
2009-04,3859812,1225993,2633819,663.570757376433
2009-05,651770,4218247,-3566477,-83.11394440972772
2009-06,4627376,409461,4217915,609.9706951838839
2009-07,3843653,4313909,-470256,-16.93666129573218
2009-08,3437556,2049500,1388056,-10.5653918290751
2009-09,4267896,4307502,-39606,24.154951948419168
2009-10,3749921,1088595,2661326,-12.136542221272496
2009-11,4142022,1291200,2850822,10.456246944935632
2009-12,3515475,1083682,2431793,-15.126597589293345
2010-01,2345979,2050434,295545,-33.2670833955582
2010-02,639266,3479106,-2839840,-72.75056596840808
2010-03,1868303,3778880,-1910577,192.2575266008203
2010-04,1516424,3027559,-1511135,-18.83415056337222
2010-05,568447,1674502,-1106055,-62.51398025881944
2010-06,4960938,917725,4043213,772.7177731609104
2010-07,3102710,555074,2547636,-37.45719055549576
2010-08,2025722,3718052,-1692330,-34.71120407643641
2010-09,4337449,3786019,551430,114.11866978785837
2010-10,3727544,4104531,-376987,-14.06137570724174
2010-11,2300895,2695284,-394389,-38.273163240997285
2010-12,3400641,2564753,835888,47.7964444270599
2011-01,1618003,2484825,-866822,-52.420646578101014
2011-02,1664666,3902631,-2237965,2.883987236117602
2011-03,2118072,1478010,640062,27.237055361255646
2011-04,3491672,1198190,2293482,64.85143092397236
2011-05,3780947,704123,3076824,8.284712882538802
2011-06,2583489,1019061,1564428,-31.670848599570423
2011-07,1079917,3612185,-2532268,-58.19928012079788
2011-08,3716366,921339,2795027,244.13441032968274
2011-09,3372807,2083763,1289044,-9.244487760355147
2011-10,3253329,1720760,1532569,-3.5423906556171114
2011-11,4547485,3261129,1286356,39.77943823080912
2011-12,532582,4061353,-3528771,-88.28842755940921
2012-01,4612385,2544875,2067510,766.0422244837415
2012-02,2082321,445967,1636354,-54.85370366957658
2012-03,1852274,603937,1248337,-11.047624261581191
2012-04,3662149,1331592,2330557,97.71097580595527
2012-05,603533,2550989,-1947456,-83.51970386786556
2012-06,4597094,3278012,1319082,661.6972062836663
2012-07,664365,1296088,-631723,-85.5481528113195
2012-08,1334648,1847325,-512677,100.89077540207568
2012-09,3296133,2472067,824066,146.96646606446043
2012-10,2577428,1239200,1338228,-21.80449029210897
2012-11,1717604,4097163,-2379559,-33.35976795472075
2012-12,1332311,892715,439596,-22.43200411736349
2013-01,947096,1771930,-824834,-28.913294268380284
2013-02,4049708,4409749,-360041,327.59213427149945
2013-03,1329369,2293402,-964033,-67.17370733889949
2013-04,612275,2078765,-1466490,-53.94243434291006
2013-05,3232803,414066,2818737,427.9985300722714
2013-06,4212193,4238776,-26583,30.295381438336943
2013-07,3664584,3116852,547732,-13.00056763780767
2013-08,2541278,657003,1884275,-30.653029102348317
2013-09,3447710,1476953,1970757,35.66835269498261
2013-10,4788992,2674197,2114795,38.903562074536424
2013-11,1223484,4051654,-2828170,-74.45216028759287
2013-12,2756384,1932052,824332,125.28974633096959
2014-01,3876317,1706551,2169766,40.630514471133196
2014-02,605442,4481872,-3876430,-84.38099876764464
2014-03,2297673,1782345,515328,279.50340412458996
2014-04,3927868,1688079,2239789,70.9498261937186
2014-05,3239005,1168843,2070162,-17.53783477448835
2014-06,3331772,3009856,321916,2.8640585611939384
2014-07,1898071,4150464,-2252393,-43.0311858074322
2014-08,3756375,3317162,439213,97.90487289463883
2014-09,1702146,4267711,-2565565,-54.68647299590697
2014-10,3772562,2933899,838663,121.63562937609349
2014-11,1343656,1276777,66879,-64.38346142488844
2014-12,972500,2687223,-1714723,-27.622843942199495
2015-01,1929004,2417422,-488418,98.35516709511569
2015-02,3116412,3097200,19212,61.55549703370238
2015-03,3270154,1101593,2168561,4.933301501855336
2015-04,670308,2858699,-2188391,-79.50224974114369
2015-05,4907922,3928373,979549,632.1890832274119
2015-06,4790102,2320232,2469870,-2.4006086486297096
2015-07,4843586,3513219,1330367,1.1165524241446123
2015-08,833852,2055877,-1222025,-82.78440808112006
2015-09,2312304,1236915,1075389,177.3038860613154
2015-10,4631732,3632180,999552,100.30809097765695
2015-11,2849708,1737822,1111886,-38.47424678284494
2015-12,2811192,3333474,-522282,-1.3515770738615984
2016-01,4787009,2495427,2291582,70.28395783710255
2016-02,3865372,2435221,1430151,-19.252877945289015
2016-03,3298980,2084997,1213983,-14.652975185829465
2016-04,875113,392838,482275,-73.47322505744201
2016-05,1949374,3945566,-1996192,122.75683254619688
2016-06,1427364,753763,673601,-26.778340123547352
2016-07,3666841,2730150,936691,156.89599849793044
2016-08,1124335,2874693,-1750358,-69.33777603119415
2016-09,3262687,3744931,-482244,190.18815566534886
2016-10,3210225,537649,2672576,-1.6079384875104519
2016-11,1790721,3854072,-2063351,-44.218209004041775
2016-12,2517613,4039105,-1521492,40.59214137769089
2017-01,4273319,3252809,1020510,69.73692938509612
2017-02,2576563,3308097,-731534,-39.70581180576502
2017-03,4515703,1905555,2610148,75.26072523745782
2017-04,1614398,4250925,-2636527,-64.24924314110118
2017-05,547587,1444389,-896802,-66.08104073468873
2017-06,3203777,711361,2492416,485.07177854843155
2017-07,4899603,3406765,1492838,52.932086097128476
2017-08,2511865,2826396,-314531,-48.733295330254315
2017-09,2108745,1661107,447638,-16.048633186895
2017-10,3395126,3523335,-128209,61.00220747411376
2017-11,4069158,4125178,-56020,19.85293034779858
2017-12,4821185,2721949,2099236,18.481145239383668
2018-01,4934448,707125,4227323,2.3492772005222706
2018-02,4052525,3527595,524930,-17.872779285545214
2018-03,1201145,720404,480741,-70.36057766454248
2018-04,4653193,710459,3942734,287.39644256105635
2018-05,798656,3668753,-2870097,-82.83638783089376
2018-06,2911073,2607917,303156,264.4964790848626
2018-07,4721736,954289,3767447,62.19916161497841
2018-08,3066957,998313,2068644,-35.04598732330651
2018-09,4440579,3903687,536892,44.787781504598854
2018-10,1882345,644183,1238162,-57.610370179204104
2018-11,2057639,1356036,701603,9.312533037248748
2018-12,4987099,322635,4664464,142.3699686874131
2019-01,689908,3650461,-2960553,-86.16614588962442
2019-02,4071259,2922335,1148924,490.11621839433667
2019-03,3752376,1361952,2390424,-7.832540253518627
2019-04,3699327,2083730,1615597,-1.4137442516421572
2019-05,4755510,573974,4181536,28.550679623618038
2019-06,4038421,1806057,2232364,-15.079118748567454
2019-07,2757146,3724298,-967152,-31.727128003742056
2019-08,1967422,2692609,-725187,-28.642806728406832
2019-09,1764374,449036,1315338,-10.320510800428174
2019-10,1067412,3426926,-2359514,-39.50194233195457
2019-11,1219598,3566164,-2346566,14.257475089281368
2019-12,1144474,407248,737226,-6.159734601073463
2020-01,2837521,2298001,539520,147.93232524286265
2020-02,4131686,1069104,3062582,45.609001660252034
2020-03,4481448,565507,3915941,8.465357725635482
2020-04,4334003,2743785,1590218,-3.2901196220507245
2020-05,2071791,3646383,-1574592,-52.19682589052199
2020-06,2204342,565290,1639052,6.397894382203617
2020-07,3244825,1331519,1913306,47.201523175623386
2020-08,1046922,4050800,-3003878,-67.73564059695053
2020-09,3495708,2827452,668256,233.90338535249043
2020-10,4956231,3483425,1472806,41.78046335677923
2020-11,2406764,3953013,-1546249,-51.43963225281469
2020-12,865134,4287972,-3422838,-64.05405764753004
2021-01,4117851,3585618,532233,375.9784033456089
2021-02,1486048,2764837,-1278789,-63.91205024174017
2021-03,1124060,3881222,-2757162,-24.359105493227673
2021-04,1590429,1215510,374919,41.48968916250022
2021-05,4043672,2130580,1913092,154.25039407606374
2021-06,3293395,822322,2471073,-18.554348621747764
2021-07,3279911,1770579,1509332,-0.4094255320117979
2021-08,1584713,3378080,-1793367,-51.684268262157104
2021-09,1900656,2115068,-214412,19.936922332308747
2021-10,769820,3444459,-2674639,-59.49714203938008
2021-11,1164370,4020077,-2855707,51.252240783559785
2021-12,2426353,2176430,249923,108.38333175880521
2022-01,4567796,2826549,1741247,88.2576855057776
2022-02,3391085,2749852,641233,-25.76102347828143
2022-03,4964275,3965721,998554,46.391936504098254
2022-04,4313555,2121869,2191686,-13.108057067749069
2022-05,2074590,3185656,-1111066,-51.905330985695095
2022-06,4177104,385881,3791223,101.34600089656271
2022-07,2955690,3793449,-837759,-29.24068924307367
2022-08,4148561,600549,3548012,40.358461137670055
2022-09,2342561,3680722,-1338161,-43.53316728378829
2022-10,4175999,1605523,2570476,78.2663930629768
2022-11,4699015,4230286,468729,12.524332501037483
2022-12,1711721,2317288,-605567,-63.57277003797604
2023-01,609146,3980630,-3371484,-64.41324257866789
2023-02,1807852,2061452,-253600,196.78467887829848
2023-03,4941151,2367122,2574029,173.31612322247616
2023-04,1331510,560619,770891,-73.05263490227277
2023-05,3406265,1042648,2363617,155.81970845130715